Date,Price,demand,elasticity
2023-01-01,1184,0.8445945945945946,0.0
2023-01-02,1251,0.7993605115907274,-0.9464428457234209
2023-01-03,1204,0.8305647840531561,-1.039036544850498
2023-01-04,1224,0.8169934640522876,-0.9836601307189575
2023-01-05,1199,0.8340283569641368,-1.0208507089241032
2023-01-06,1192,0.8389261744966443,-1.0058724832214647
2023-01-07,1189,0.8410428931875525,-1.0025231286795302
2023-01-08,1252,0.7987220447284346,-0.9496805111821074
2023-01-09,1186,0.8431703204047217,-1.0556492411467107
2023-01-10,1166,0.8576329331046312,-1.017152658662095
2023-01-11,1298,0.7704160246533128,-0.8983050847457624
2023-01-12,1186,0.8431703204047217,-1.0944350758853272
2023-01-13,1163,0.8598452278589854,-1.0197764402407616
2023-01-14,1170,0.8547008547008547,-0.9940170940171156
2023-01-15,1284,0.778816199376947,-0.9112149532710266
2023-01-16,1241,0.8058017727639001,-1.034649476228851
2023-01-17,1154,0.8665511265164645,-1.0753899480069335
2023-01-18,1163,0.8598452278589854,-0.9922613929492708
2023-01-19,1215,0.823045267489712,-0.9572016460905377
2023-01-20,1223,0.8176614881439084,-0.9934587080948605
2023-01-21,1231,0.8123476848090982,-0.9935012185215295
2023-01-22,1191,0.8396305625524769,-1.0335852225021025
2023-01-23,1156,0.8650519031141869,-1.0302768166089993
2023-01-24,1174,0.8517887563884157,-0.9846678023850153
2023-01-25,1266,0.7898894154818326,-0.9273301737756708
2023-01-26,1231,0.8123476848090982,-1.0284321689683176
2023-01-27,1286,0.7776049766718507,-0.9572317262830471
2023-01-28,1201,0.832639467110741,-1.0707743547044113
2023-01-29,1192,0.8389261744966443,-1.0075503355704736
2023-01-30,1261,0.7930214115781126,-0.9452815226011091
